ID,AdmArea,Month,Year,TotalAmount,Suppliers,global_id,Unnamed: 7
97,Центральный административный округ,Декабрь,2016,1083268627.0,nested data,284597913,
85,Центральный административный округ,Ноябрь,2016,1072033883.0,nested data,282196211,
73,Центральный административный округ,Октябрь,2016,1065523860.0,nested data,282192211,
434,Центральный административный округ,Август,2017,1205424733.0,nested data,920181564,
145,Центральный административный округ,Апрель,2017,1115320815.67,nested data,612957874,
458,Центральный административный округ,Декабрь,2017,1258380754.0,nested data,920181901,
182,Центральный административный округ,Июль,2017,1197215543.72,nested data,885810666,
169,Центральный административный округ,Июнь,2017,1131309445.43,nested data,613114399,
133,Центральный административный округ,Март,2017,1111853811.94,nested data,612947382,
410,Центральный административный округ,Ноябрь,2017,1248661932.0,nested data,920170766,
422,Центральный административный округ,Октябрь,2017,1233226017.0,nested data,920180904,
350,Центральный административный округ,Сентябрь,2017,1212037226.66,nested data,918727981,
121,Центральный административный округ,Февраль,2017,1129023935.08,nested data,612943334,
109,Центральный административный округ,Январь,2017,1103915545.5,nested data,612938960,
446,Центральный административный округ,Апрель,2018,1242811612.0,nested data,920181845,
398,Центральный административный округ,Декабрь,2018,1250072335.0,nested data,920164354,
302,Центральный административный округ,Май,2018,1247099349.01,nested data,885813824,
362,Центральный административный округ,Ноябрь,2018,1249987014.8,nested data,919119829,
290,Центральный административный округ,Февраль,2018,1247523024.93,nested data,885817661,
266,Центральный административный округ,Январь,2018,1255932407.09,nested data,885818212,
554,Центральный административный округ,Август,2019,1289896855.0,nested data,1023571758,
493,Центральный административный округ,Апрель,2019,1376249632.96,nested data,925697446,
602,Центральный административный округ,Декабрь,2019,1346013423.63,nested data,1146138315,
530,Центральный административный округ,Июль,2019,1294459975.0,nested data,1006305717,
542,Центральный административный округ,Июнь,2019,1310177657.0,nested data,1006475393,
518,Центральный административный округ,Май,2019,1320926822.0,nested data,930605120,
505,Центральный административный округ,Март,2019,1300946634.0,nested data,925702684,
590,Центральный административный округ,Ноябрь,2019,1338087340.0,nested data,1023598321,
578,Центральный административный округ,Октябрь,2019,1322195308.0,nested data,1023597034,
338,Центральный административный округ,Февраль,2019,1318968869.0,nested data,915889876,
481,Центральный административный округ,Январь,2019,1282372753.0,nested data,925621173,
698,Центральный административный округ,Август,2020,1348579151.0,nested data,1146146681,
745,Центральный административный округ,Декабрь,2020,1390256402.39,nested data,1146149049,
686,Центральный административный округ,Июль,2020,1361095963.83,nested data,1146140678,
638,Центральный административный округ,Март,2020,1354303732.14,nested data,1146138647,
733,Центральный административный округ,Ноябрь,2020,1360154861.83,nested data,1146148926,
721,Центральный административный округ,Октябрь,2020,1351154922.05,nested data,1146147965,
709,Центральный административный округ,Сентябрь,2020,1339981091.29,nested data,1146147488,
626,Центральный административный округ,Февраль,2020,1342359782.32,nested data,1146138528,
614,Центральный административный округ,Январь,2020,1387503641.27,nested data,1146138450,
890,Центральный административный округ,Декабрь,2021,1432572227.85,nested data,1508957373,
805,Центральный административный округ,Май,2021,1399711506.75,nested data,1146154286,
878,Центральный административный округ,Ноябрь,2021,1426668016.12,nested data,1266502142,
865,Центральный административный округ,Октябрь,2021,1395232174.22,nested data,1263039996,
987,Центральный административный округ,Август,2022,1500253073.74,nested data,2382306173,
1035,Центральный административный округ,Декабрь,2022,1577877750.09,nested data,2497958021,
926,Центральный административный округ,Март,2022,1501570468.92,nested data,2363396569,
1023,Центральный административный округ,Ноябрь,2022,1525619546.67,nested data,2449291612,
1011,Центральный административный округ,Октябрь,2022,1511403308.44,nested data,2392866358,
914,Центральный административный округ,Февраль,2022,1503652101.24,nested data,2361382812,
1083,Центральный административный округ,Апрель,2023,1679463889.27,nested data,2587696594,
1181,Центральный административный округ,Декабрь,2023,1741544445.32,nested data,2641357340,
1108,Центральный административный округ,Июнь,2023,1678591457.45,nested data,2601984305,
1095,Центральный административный округ,Май,2023,1693621275.98,nested data,2592173091,
1071,Центральный административный округ,Март,2023,1680960450.37,nested data,2580692591,
1169,Центральный административный округ,Ноябрь,2023,1740483615.58,nested data,2639096836,
1276,Центральный административный округ,Август,2024,1874717626.17,nested data,2704090995,
1324,Центральный административный округ,Декабрь,2024,1894235156.63,nested data,2721595957,
1312,Центральный административный округ,Ноябрь,2024,1884313837.22,nested data,2710218981,
1300,Центральный административный округ,Октябрь,2024,1881543094.17,nested data,2706574293,
1288,Центральный административный округ,Сентябрь,2024,1863198365.81,nested data,2704103900,
1420,Центральный административный округ,Август,2025,2184243305.06,nested data,2800910577,
1468,Центральный административный округ,Декабрь,2025,2259048983.0,nested data,2845508755,
1408,Центральный административный округ,Июль,2025,2157225145.28,nested data,2796317810,
1456,Центральный административный округ,Ноябрь,2025,2218136644.58,nested data,2836233447,
1444,Центральный административный округ,Октябрь,2025,2207602218.63,nested data,2830492983,
1432,Центральный административный округ,Сентябрь,2025,2175254613.15,nested data,2808857140,
