Уровень безработицы населения в возрасте 15 лет и старше по субъектам Российской Федерации в I квартале 2025 г.;
Федеральные округа и субъекты Российской Федерации;по данным выборочного обследования рабочей силы, в процентах
Российская Федеpация;2,3
Центральный федеральный округ;1,6
Белгородская область;2,2
Брянская область;2,2
Владимирская область;2,0
Воронежская область;2,0
Ивановская область;2,1
Калужская область;1,1
Костромская область;2,3
Курская область;1,6
Липецкая область;2,0
Московская область;1,5
Орловская область;1,4
Рязанская область;2,2
Смоленская область;2,3
Тамбовская область;1,9
Тверская область;2,3
Тульская область;1,9
Ярославская область;2,9
г. Москва;1,0
Северо-Западный федеральный округ;2,0
Республика Карелия;3,2
Республика Коми;4,2
Архангельская область;2,4
"в том числе: 
Ненецкий авт.округ";3,8
Архангельская область без авт. округа;2,4
Вологодская область;1,6
Калининградская область;2,2
Ленинградская область;2,8
Мурманская область;2,3
Новгородская область;1,2
Псковская область;2,2
г. Санкт-Петербург;1,5
Южный федеральный округ;2,2
Республика Адыгея;2,0
Республика Калмыкия;3,8
Республика Крым;2,3
Краснодарский край;2,1
Астраханская область;2,3
Волгоградская область;2,1
Ростовская область;2,2
г. Севастополь;2,5
Северо-Кавказский федеральный округ;8,2
Республика Дагестан;11,8
Республика Ингушетия;25,6
Кабардино-Балкарская Республика;4,4
Карачаево-Черкесская Республика;5,0
Республика Северная Осетия-Алания;6,9
Чеченская Республика;7,3
Ставропольский край;3,5
Приволжский федеральный округ;1,6
Республика Башкортостан;1,5
Республика Марий Эл;2,0
Республика Мордовия;1,9
Республика Татарстан;1,7
Удмуртская Республика;1,4
Чувашская Республика;1,8
Пермский край;1,7
Кировская область;1,7
Нижегородская область;1,1
Оренбургская область;1,5
Пензенская область;1,7
Самарская область;1,9
Саратовская область;1,8
Ульяновская область;1,6
Уральский федеральный округ;1,6
Курганская область;2,1
Свердловская область;1,7
Тюменская область;1,4
"в том числе: 
Ханты-Мансийский авт.округ - Югра";1,1
Ямало-Ненецкий авт.округ;1,1
Тюменская область без авт. округов;1,9
Челябинская область;1,6
Сибирский федеральный округ;3,0
Республика Алтай;5,9
Республика Тыва;5,4
Республика Хакасия;1,4
Алтайский край;3,5
Красноярский край;2,4
Иркутская область;3,2
Кемеровская область;2,5
Новосибирская область;3,0
Омская область;3,2
Томская область;3,3
Дальневосточный федеральный округ;2,7
Республика Бурятия;4,0
Республика Саха (Якутия);4,7
Забайкальский край;5,1
Камчатский край;2,5
Приморский край;2,1
Хабаровский край;1,2
Амурская область;1,2
Магаданская область;1,8
Сахалинская область;1,9
Еврейская авт.область;2,0
Чукотский авт.округ;2,0
